student_id,assignment_update,assignment_upload,assignment_view,assignment_view_submission,chat_report,chat_talk,chat_view,forum_add_discussion,forum_add_post,forum_subscribe,forum_unsubscribe,forum_update_post,forum_user_report,forum_view_discussion,forum_view_forum,glossary_add_entry,glossary_update_entry,glossary_view,glossary_view_all,message_add_contact,message_block_contact,message_remove_contact,message_unblock_contact,message_write,quiz_view,resource_view,survey_submit,survey_view_form,survey_view_graph,user_view,lastweek,days
445,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
446,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,1,4,4,4,1,1,1
447,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,0,0
448,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,1,4,4,4,1,1,1
449,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,1,4,4,4,1,0,0
450,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,0
451,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,1,4,4,4,1,1,1
452,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,1,1
453,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,1,0,0
454,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,0,0
455,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,0,0
456,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,3,4,4,4,1,1,0
457,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,0
458,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,0,0
459,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
460,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,0,0
461,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,1,1
462,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,0
463,4,4,3,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,0,0
464,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,3,0,0
465,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,1,4,4,4,1,0,0
466,4,1,3,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,0,0
467,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,0,0
468,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,0,0
469,4,4,3,4,4,4,4,4,1,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,1,4,4,4,1,1,0
470,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,0,0
471,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,0,0
472,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,0,0
473,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,0,0
474,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,4,1,1
475,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,0,0
476,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,1,0
477,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,3,4,4,4,3,1,0
478,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,3,0,0
479,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,1,4,4,4,1,1,1
480,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,0,0
481,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,0,0
482,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,1,4,4,4,1,1,1
483,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,4,0,0
484,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,0,0
485,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,0,0
486,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,4,0,1
487,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,3,4,4,4,3,0,0
488,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,1,0
489,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1,0,0
490,4,1,3,4,4,4,4,4,1,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,4,4,4,4,4,0,0
491,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,1,4,4,4,3,0,1
492,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,0,0
493,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,1,4,4,4,4,0,0
494,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,4,4,4,4,4,0,0
495,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,0,0
496,4,4,3,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,3,0,0
497,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,1,1
498,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,0,0
499,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1,0,0
500,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,0,0
501,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,0,0
502,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,0,0
503,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,0,0
504,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,0,0
505,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,0,0
506,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,0,0
